Designator,Footprint,Quantity,Value,LCSC Part #
BT1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Battery_Cell,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D4, D5, D6, D7, D8, D9",Diode_DO-35,34,D,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW4, SW5, SW6, SW7, SW8",Hotswap_MX_1.00u,26,SW_Push_45deg,
SW16,Hotswap_MX_1.75u,1,SW_Push_45deg,
SW23,Hotswap_MX_2.25u,1,SW_Push_45deg,
"SW30, SW31, SW32, SW33",Hotswap_MX_1.25u,4,SW_Push_45deg,
SW34,Hotswap_MX_2.75u,1,SW_Push_45deg,
SW9,Hotswap_MX_1.50u,1,SW_Push_45deg,
SWD1,Switch_K3-1204D,1,SW_DIP_x01,C145861
U1,Nice_Nano_V2,1,Nice_Nano_V2,
