Designator,Mid X,Mid Y,Rotation,Layer
BT1,31.4452,-73.6694,90.0,bottom
D1,65.405,-33.655,90.0,bottom
D10,93.98,-52.705,90.0,bottom
D11,113.03,-52.705,90.0,bottom
D12,132.08,-52.705,90.0,bottom
D13,151.13,-52.705,90.0,bottom
D14,170.18,-52.705,90.0,bottom
D15,178.435,-63.5,180.0,bottom
D16,72.54875,-71.755,90.0,bottom
D17,98.7425,-71.755,90.0,bottom
D18,117.7925,-71.755,90.0,bottom
D19,136.8425,-71.755,90.0,bottom
D2,84.455,-33.655,90.0,bottom
D20,155.8925,-71.755,90.0,bottom
D21,174.9425,-71.755,90.0,bottom
D22,182.245,-82.55,180.0,bottom
D23,77.31125,-90.805,90.0,bottom
D24,108.2675,-90.805,90.0,bottom
D25,127.3175,-90.805,90.0,bottom
D26,146.3675,-90.805,90.0,bottom
D27,165.4175,-90.805,90.0,bottom
D28,184.4675,-90.805,90.0,bottom
D29,186.055,-101.6,180.0,bottom
D3,103.505,-33.655,90.0,bottom
D30,67.78625,-109.855,90.0,bottom
D31,91.59875,-109.855,90.0,bottom
D32,115.41125,-109.855,90.0,bottom
D33,139.22375,-109.855,90.0,bottom
D34,177.32375,-109.855,90.0,bottom
D4,122.555,-33.655,90.0,bottom
D5,141.605,-33.655,90.0,bottom
D6,160.655,-33.655,90.0,bottom
D7,179.705,-33.655,90.0,bottom
D8,180.975,-44.45,180.0,bottom
D9,70.1675,-52.705,90.0,bottom
SW1,55.88,-34.925,0.0,top
SW10,84.455,-53.975,0.0,top
SW11,103.505,-53.975,0.0,top
SW12,122.555,-53.975,0.0,top
SW13,141.605,-53.975,0.0,top
SW14,160.655,-53.975,0.0,top
SW15,179.705,-53.975,0.0,top
SW16,63.02375,-73.025,0.0,top
SW17,89.2175,-73.025,0.0,top
SW18,108.2675,-73.025,0.0,top
SW19,127.3175,-73.025,0.0,top
SW2,74.93,-34.925,0.0,top
SW20,146.3675,-73.025,0.0,top
SW21,165.4175,-73.025,0.0,top
SW22,184.4675,-73.025,0.0,top
SW23,67.78625,-92.075,0.0,top
SW24,98.7425,-92.075,0.0,top
SW25,117.7925,-92.075,0.0,top
SW26,136.8425,-92.075,0.0,top
SW27,155.8925,-92.075,0.0,top
SW28,174.9425,-92.075,0.0,top
SW29,193.9925,-92.075,0.0,top
SW3,93.98,-34.925,0.0,top
SW30,58.26125,-111.125,0.0,top
SW31,82.07375,-111.125,0.0,top
SW32,105.88625,-111.125,0.0,top
SW33,129.69875,-111.125,0.0,top
SW34,167.79875,-111.125,0.0,top
SW4,113.03,-34.925,0.0,top
SW5,132.08,-34.925,0.0,top
SW6,151.13,-34.925,0.0,top
SW7,170.18,-34.925,0.0,top
SW8,189.23,-34.925,0.0,top
SW9,60.6425,-53.975,0.0,top
SWD1,30.8925,-64.78,90.0,top
U1,38.735,-43.46,0.0,top
