Designator,Footprint,Quantity,Value,LCSC Part #
BT1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Battery_Cell,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D4, D5, D6, D7, D8, D9",Diode_DO-35,36,D,
"SW1, SW10, SW11, SW12, SW13, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW22, SW23, SW24, SW25, SW26, SW28, SW29, SW3, SW31, SW32, SW33, SW34, SW35, SW36, SW4, SW5, SW8, SW9",Hotswap_MX_1.00u,30,SW_Push_45deg,
SW14,Hotswap_MX_1.50u,1,SW_Push_45deg,
"SW21, SW30",Hotswap_MX_2.25u,2,SW_Push_45deg,
SW27,Hotswap_MX_1.75u,1,SW_Push_45deg,
SW6,Hotswap_MX_2.00u,1,SW_Push_45deg,
SW7,Encoder_EC11_MX,1,RotaryEncoder_Switch,
SWD1,Switch_K3-1204D,1,SW_DIP_x01,C145861
U1,Nice_Nano_V2,1,Nice_Nano_V2,
